Track,Track,EventShort,Event,EventClass,Flags,StartDay,StartTime,StartDT,EndDay,EndTime,EndDT,Room,Guests,,,,,,,,
Future Tech,,Virtual Reality and Oculus Rift Demo,Virtual Reality and Oculus Rift Demo,Presentation,,08/08/2014,10:00,Fri 10:00,08/08/2014,11:15,Fri 11:15,11,Ian Peters,,,,,,,,
Future Tech,,"From Killer Drones, To Cuddly Robot Companions","From Killer Drones, To Cuddly Robot Companions",Presentation,,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,11,Emma Byrne,,,,,,,,
Future Tech,,Free Is A Lie,Free Is A Lie,Presentation,,08/08/2014,13:30,Fri 13:30,08/08/2014,14:45,Fri 14:45,11,Aral Balkan,,,,,,,,
Future Tech,,How To Get Your Idea Crowdfunded,How To Get Your Idea Crowdfunded,Presentation,,08/08/2014,15:15,Fri 15:15,08/08/2014,16:30,Fri 16:30,11,Kate Russell,Allen Stroud,,,,,,,
Future Tech,,Mindpong with Stephen Chan,Mindpong with Stephen Chan,Presentation,,08/08/2014,18:00,Fri 18:00,08/08/2014,18:15,Fri 18:15,11,Stephen Chan,,,,,,,,
Skepticism,,Temporal Lobes and Spiritual Experiences,Temporal Lobes and Spiritual Experiences,Presentation,,09/08/2014,10:00,Sat 10:00,09/08/2014,11:15,Sat 11:15,11,Niall McCrae,Joanne Roberts,,,,,,,
Future Tech,,EEG: Brain Hacking and Technology Demo,EEG: Brain Hacking and Technology Demo,Presentation,,09/08/2014,11:45,Sat 11:45,09/08/2014,13:00,Sat 13:00,11,Martin Dinov,,,,,,,,
Future Tech,,Drone Zone,Drone Zone: introduction to open source hardware and the maker movement,Presentation,,09/08/2014,13:30,Sat 13:30,09/08/2014,14:45,Sat 14:45,11,Anish Mohammed,,,,,,,,
Skepticism,,Magicians and Misdirection,Magicians and Misdirection: using magic for psychology research,Presentation,,09/08/2014,15:15,Sat 15:15,09/08/2014,16:30,Sat 16:30,11,Robert Teszka,,,,,,,,
Skepticism,,The Psychology of Alien Contact,The Psychology of Alien Contact,Presentation,,09/08/2014,17:00,Sat 17:00,09/08/2014,18:15,Sat 18:15,11,Chris French,,,,,,,,
Skepticism,,Interview with a Vampire Expert,Interview with a Vampire Expert,Presentation,,09/08/2014,18:45,Sat 18:45,09/08/2014,20:00,Sat 20:00,11,Deborah Hyde,,,,,,,,
Future Tech,,Neuroscience of Swearing,Neuroscience of Swearing,Presentation,,10/08/2014,10:00,Sun 10:00,10/08/2014,10:40,Sun 10:40,11,Emma Byrne,,,,,,,,
Future Tech,,Lateral Search: Alternative Search Engines,Lateral Search: Alternative Search Engines,Presentation,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,11,J. Paul Neeley,Dan Foster-Smith,,,,,,,
Future Tech,,Gamification of Everything,Gamification of Everything: mapping human psychology to technology,Presentation,,10/08/2014,13:30,Sun 13:30,10/08/2014,14:45,Sun 14:45,11,Cormac Horan,,,,,,,,
Skepticism,,London Skeptics Roundtable,London Skeptics Roundtable,Discussion,,10/08/2014,15:15,Sun 15:15,10/08/2014,16:30,Sun 16:30,11,Deborah Hyde,,,,,,,,
Skepticism,,Psychics and Pseudoscience,Psychics and Pseudoscience,Presentation,,10/08/2014,17:00,Sun 17:00,10/08/2014,18:15,Sun 18:15,11,Michael Marshall,,,,,,,,
Skepticism,,"Autism Treatments - the good, the bad and the ugly","Autism Treatments - the good, the bad and the ugly",Presentation,,10/08/2014,18:45,Sun 18:45,10/08/2014,20:00,Sun 20:00,11,Tannice Pendegrass,,,,,,,,
"Ships, Clocks and Stars",,Photographing the Universe,Photographing the Universe,Presentation,,08/08/2014,10:00,Fri 10:00,08/08/2014,11:15,Fri 11:15,12,Marek Kukula,,,,,,,,
"Ships, Clocks and Stars",,"The Longitude Story - from projectors to punks","The Longitude Story - from projectors to punks",Presentation,,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,12,Richard Dunn,,,,,,,,
Kids,"Ships, Clocks and Stars",Build Your Own Spectroscope,Build Your Own Spectroscope,Craft,,08/08/2014,13:30,Fri 13:30,08/08/2014,14:45,Fri 14:45,12,Brendan Owens,,,,,,,,
"Ships, Clocks and Stars",,Do Black Holes Really Exist?,Do Black Holes Really Exist?,Presentation,,08/08/2014,15:15,Fri 15:15,08/08/2014,16:30,Fri 16:30,12,Marek Kukula,,,,,,,,
"Ships, Clocks and Stars",,Steampunk Telescopes,Steampunk Telescopes,Presentation,,08/08/2014,18:45,Fri 18:45,08/08/2014,20:00,Fri 20:00,12,Tom Kerss,,,,,,,,
"Ships, Clocks and Stars",,Travellers of the Fourth Dimension,Travellers of the Fourth Dimension: the secrets of time travel,Presentation,,08/08/2014,17:00,Fri 17:00,08/08/2014,18:15,Fri 18:15,12,Brendan Owens,,,,,,,,
Steampunk,,So you want to write Steampunk,So you want to write Steampunk,Panel,,09/08/2014,10:00,Sat 10:00,09/08/2014,11:15,Sat 11:15,12,Liesel Schwarz,Karl Burnett,John Naylor,Andrea Burnett,,,,,
Steampunk,,Not Just Books,Not Just Books,Panel,,09/08/2014,11:45,Sat 11:45,09/08/2014,13:00,Sat 13:00,12,Yomi Ayeni,Gary Nichols,Lady Elsie,Malika Andress,,,,,
Kids,Steampunk,Punk your Nerf,Punk your Nerf,Craft,,09/08/2014,13:30,Sat 13:30,09/08/2014,14:45,Sat 14:45,12,Vincent Swann,,,,,,,,
Steampunk,,Multiculturalism and a Global Perspective on Steampunk,Multiculturalism and a Global Perspective on Steampunk,Panel,,09/08/2014,15:15,Sat 15:15,09/08/2014,16:30,Sat 16:30,12,Yomi Ayeni,Malika Andress,John Naylor,Andrea Burnett,,,,,
Steampunk,,Gin Appreciation,Gin Appreciation,Entertainment,"Ticketed, 18+",09/08/2014,18:45,Sat 18:45,09/08/2014,20:00,Sat 20:00,12,Lady Elsie,Lady M,,,,,,,
Steampunk,,Steampunk Cabaret,Steampunk Cabaret: a steamy evening of entertainment,Entertainment,,09/08/2014,20:30,Sat 20:30,09/08/2014,23:30,Sat 23:30,12,Dr Corvas Marconi,The Cogkneys,Lady M,Count Rostov,Thadeus Tinker,,,,
Steampunk,,Here's One I Made Earlier,Here's One I Made Earlier: steampunk makers share their hints and tips,Panel,,10/08/2014,10:00,Sun 10:00,10/08/2014,11:15,Sun 11:15,12,Herr Doktor,Mark Simpson,Andrea Burnett,,,,,,
Steampunk,,Female characters in Steampunk,Female characters in Steampunk: strong women in Steampunk get an audience,Panel,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,12,Gail Carriger,Liesel Schwarz,Toby Frost,Count Rostov,,,,,
Steampunk,,Corsets in an Hour,Corsets in an Hour,Presentation,,10/08/2014,13:30,Sun 13:30,10/08/2014,14:45,Sun 14:45,12,Trevor Wilson,,,,,,,,
Steampunk,,The science of Afternoon Tea,The science of Afternoon Tea: how does chemistry help us to make scones?,Presentation,,10/08/2014,15:15,Sun 15:15,10/08/2014,16:30,Sun 16:30,12,Malika Andress,,,,,,,,
Steampunk,,Steampunk Fashion,Steampunk Fashion,Presentation,,10/08/2014,17:00,Sun 17:00,10/08/2014,18:15,Sun 18:15,12,Lady Elsie,Thadeus Tinker,,,,,,,
All of the Books,,MONSTERCLASS: Nonlinear Narratives,MONSTERCLASS: Nonlinear Narratives,Presentation,,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,30,Robert Sharp,,,,,,,,
All of the Books,,MONSTERCLASS: Archaeological Worldbuilding,MONSTERCLASS: Archaeological Worldbuilding,Presentation,,08/08/2014,15:15,Fri 15:15,08/08/2014,16:30,Fri 16:30,30,Debbie Challis,,,,,,,,
All of the Books,,MONSTERCLASS: Street Art,MONSTERCLASS: Street Art,Presentation,,09/08/2014,11:45,Sat 11:45,09/08/2014,13:00,Sat 13:00,30,Deadly Knitshade,Lauren O'Farrell,,,,,,,
Kids,Creative Writing,Writing Workshop with Quen Took,Writing Workshop with Quen Took,Workshop,for ages 8-11,09/08/2014,13:30,Sat 13:30,09/08/2014,14:45,Sat 14:45,30,Quen Took,,,,,,,,
All of the Books,,MONSTERCLASS: Mummies,MONSTERCLASS: Mummies,Presentation,,09/08/2014,15:15,Sat 15:15,09/08/2014,16:30,Sat 16:30,30,John J. Johnston,,,,,,,,
All of the Books,Comics,MONSTERCLASS: Comics,MONSTERCLASS: Comics,Presentation,,09/08/2014,17:00,Sat 17:00,09/08/2014,18:15,Sat 18:15,30,Sarah McIntyre,Philip Reeve,,,,,,,
All of the Books,,MONSTERCLASS: Postcolonial SF,MONSTERCLASS: Postcolonial SF,Presentation,,09/08/2014,18:45,Sat 18:45,09/08/2014,20:00,Sat 20:00,30,Fabio Fernandes,,,,,,,,
All of the Books,,MONSTERCLASS: Mental Illness Primer,MONSTERCLASS: Mental Illness Primer,Presentation,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,30,Tade Thompson,,,,,,,,
All of the Books,,MONSTERCLASS: Marketing,MONSTERCLASS: Marketing,Presentation,,10/08/2014,15:15,Sun 15:15,10/08/2014,16:30,Sun 16:30,30,Tom Hunter,,,,,,,,
Doctor Who,,Writing Circular Gallifreyan,Writing Circular Gallifreyan,Workshop,,09/08/2014,11:45,Sat 11:45,09/08/2014,13:00,Sat 13:00,31,,,,,,,,,
Doctor Who,,Writing Circular Gallifreyan,Writing Circular Gallifreyan,Workshop,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,31,,,,,,,,,
A Song of Ice and Fire,,Weirwood Eyes,Weirwood Eyes: Looking forward to The Winds of Winter,Discussion,,08/08/2014,10:00,Fri 10:00,08/08/2014,11:15,Fri 11:15,32,Jaime Starr,,,,,,,,
Cosplay Beyond,Kids,Introduction to Ickiness: Workshop One,Introduction to Ickiness: Basic Wounds Workshop One - Bruises and Superficial Cuts,Craft,PG,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,32,Cosplay Beyond,,,,,,,,
A Song of Ice and Fire,,Identity in ASOIAF,Identity in ASOIAF,Presentation,,08/08/2014,13:30,Fri 13:30,08/08/2014,14:00,Fri 14:00,32,Andrew Jones,Jaime Starr,,,,,,,
Food Geekery,,Tales from The Underground Restaurant,"Tales from The Underground Restaurant: how to run a supperclub, with Kerstin Rogers",Presentation,,08/08/2014,15:15,Fri 15:15,08/08/2014,16:30,Fri 16:30,32,Kerstin Rodgers,,,,,,,,
Cosplay Beyond,,Gruesome Injuries: Workshop One,The Horror! The Horror! Gruesome Injuries Workshop One - Pustules and Bruises,Craft,15+,08/08/2014,17:00,Fri 17:00,08/08/2014,18:15,Fri 18:15,32,Cosplay Beyond,,,,,,,,
Food Geekery,,Food As Art,Food As Art: Caroline Hobkinson talks about and demonstrates her work,Presentation,,08/08/2014,18:45,Fri 18:45,08/08/2014,20:00,Fri 20:00,32,Caroline Hobkinson,,,,,,,,
Food Geekery,,Anatomy of a Blend,Anatomy of a Blend: A talk and tasting with Alchemist Dreams handmade liqueurs,Presentation,"Ticketed, 18+",08/08/2014,20:30,Fri 20:30,08/08/2014,21:45,Fri 21:45,32,Ruth Ball,Alchemist Dreams,,,,,,,
A Song of Ice and Fire,,Sewing Circle,Sewing Circle,Craft,,09/08/2014,10:00,Sat 10:00,09/08/2014,11:15,Sat 11:15,32,Jaime Starr,,,,,,,,
Food Geekery,,Food In Fantasy,"Food In Fantasy: A panel discussion with Esther Saxey, Ed Cox, Mark Newton and Gail Carriger",Panel,,09/08/2014,13:30,Sat 13:30,09/08/2014,14:45,Sat 14:45,32,E. Saxey,Ed Cox,Mark Newton,Gail Carriger,,,,,
Food Geekery,,What Is Experiential Food?,"What Is Experiential Food?: Talk, demonstration and theatrics with the Robin Collective",Presentation,,09/08/2014,15:15,Sat 15:15,09/08/2014,16:30,Sat 16:30,32,The Robin Collective,,,,,,,,
A Song of Ice and Fire,,Writing Westeros,Writing Westeros: a Corpus Linguistic Study of A Song of Ice and Fire,Presentation,,09/08/2014,17:00,Sat 17:00,09/08/2014,18:15,Sat 18:15,32,Matt Voice,Jaime Starr,,,,,,,
Food Geekery,Knitting,Edible Knitting,Edible Knitting: knitting cord bracelets from strawberry laces,Craft,,09/08/2014,18:45,Sat 18:45,09/08/2014,20:00,Sat 20:00,32,Ruth Ball,Sasha McKenna,,,,,,,
Food Geekery,,Anatomy of a Blend,Anatomy of a Blend: A talk and tasting with Alchemist Dreams handmade liqueurs,Presentation,"Ticketed, 18+",09/08/2014,20:30,Sat 20:30,09/08/2014,21:45,Sat 21:45,32,Ruth Ball,Alchemist Dreams,,,,,,,
Food Geekery,,"Talking With Food, Not Words","Talking With Food, Not Words: Telling an edible story with Chloe Morris",Presentation,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,32,Chloe Morris,,,,,,,,
Food Geekery,,Food in Science Fiction,Food in Science Fiction,Panel,,10/08/2014,13:30,Sun 13:30,10/08/2014,14:45,Sun 14:45,32,Sarah McIntyre,Gareth Powell,Aliette de Bodard,,,,,,
A Song of Ice and Fire,All of the Books,The Bards Speak,The Bards Speak: Authors' views of the World of Ice and Fire,Panel,,10/08/2014,15:15,Sun 15:15,10/08/2014,16:30,Sun 16:30,32,Susan Bartholomew,Cristina Macia,Anne Perry,Adrian Tchaikovsky,,,,,
Academia,Video Games Culture,Environmental Narrative and the Silent Story,Environmental Narrative and the Silent Story,Presentation,,10/08/2014,17:00,Sun 17:00,10/08/2014,17:25,Sun 17:25,32,Thryn Henderson,,,,,,,,
Academia,Video Games Culture,"Actions, Choices, and Immersion","Actions, Choices, and Immersion: what can philosophers tell us?",Presentation,,10/08/2014,17:25,Sun 17:25,10/08/2014,17:50,Sun 17:50,32,John Brasington,,,,,,,,
Academia,Video Games Culture,What makes for a good adventure game puzzle?,"Objection! What makes for a good adventure game puzzle, anyway?",Presentation,,10/08/2014,17:50,Sun 17:50,10/08/2014,18:15,Sun 18:15,32,Seb Atay,,,,,,,,
Food Geekery,,Cheese & Cheese!,"Cheese & Cheese! Eating, talking, and getting to know each other",Entertainment,,07/08/2014,20:00,Thu 20:00,07/08/2014,22:00,Thu 22:00,38,Ruth Ball,,,,,,,,
Video Games Culture,,Chat with Indie Haven,Indie Haven chats,Meetup,,08/08/2014,09:00,Fri 09:00,08/08/2014,10:00,Fri 10:00,38,Tim Skew,Indie Haven,,,,,,,
Video Games Culture,,Indie Marketing,Indie Marketing,Panel,,08/08/2014,10:00,Fri 10:00,08/08/2014,11:00,Fri 11:00,38,Natalie Griffith,Laura Kate Dale,George Osborn,Russ Clarke,,,,,
Video Games Culture,,Failing Faster,Failing Faster,Presentation,,08/08/2014,11:45,Fri 11:45,08/08/2014,12:45,Fri 12:45,38,Gemma Thomson,Dan Pearce,,,,,,,
Video Games Culture,,Meet ALL the people,Meet ALL the people,Meetup,,08/08/2014,13:30,Fri 13:30,08/08/2014,14:30,Fri 14:30,38,Tim Skew,Indie Haven,,,,,,,
Video Games Culture,,Game Police vs. Indies,Game Police vs. Indies,Panel,,09/08/2014,11:45,Sat 11:45,09/08/2014,13:00,Sat 13:00,Royal-C&D,Jack deQuidt,,,,,,,,
Video Games Culture,,Need-to-Know About The Indie Life,Need-to-Know About The Indie Life,Presentation,,08/08/2014,17:00,Fri 17:00,08/08/2014,18:00,Fri 18:00,38,Kim Blake,Quinn,,,,,,,
Entertainment,,Only a Moment,Only a Moment,Entertainment,,08/08/2014,20:30,Fri 20:30,08/08/2014,22:00,Fri 22:00,38,Paul Cornell,Elizabeth Bear,Kieron Gillen,L. M. Myles,Laurie Penny,,,,
Video Games Culture,,Philosophy in Games,Philosophy in Games,Discussion,,09/08/2014,10:00,Sat 10:00,09/08/2014,11:15,Sat 11:15,38,Joseph Garvin,Jordan Erica Webber,John Brindle,Dan Griliopolous,,,,,
Social Gaming,,In Conversation with Reiner Knizia,In Conversation with Reiner Knizia - Award-Winning Board Game Designer,Q&A,,09/08/2014,13:30,Sat 13:30,09/08/2014,14:15,Sat 14:15,38,Reiner Knizia,Matt Johnson,,,,,,,
Social Gaming,,Signing with Reiner Knizia,Signing with Reiner Knizia,Signing,,09/08/2014,14:15,Sat 14:15,09/08/2014,14:45,Sat 14:45,38-Lobby,Reiner Knizia,Matt Johnson,,,,,,,
Game of Thrones,,Game of Thrones: Season 4 in Review,GoT: Season 4 in Review,Panel,,09/08/2014,15:15,Sat 15:15,09/08/2014,16:30,Sat 16:30,38,Josef Altin,Miltos Yerolemou,Amrita Acharia,Laura Pradelska,Adam Whitehead,,,,
Game of Thrones,,Game of Thrones: Justice,GoT: Justice,Panel,,09/08/2014,17:00,Sat 17:00,09/08/2014,18:15,Sat 18:15,38,Josef Altin,Miltos Yerolemou,Amrita Acharia,Laura Pradelska,Adam Whitehead,,,,
Game of Thrones,,Game of Thrones: Signing,GoT: Signing,Signing,,09/08/2014,18:45,Sat 18:45,09/08/2014,20:00,Sat 20:00,38,Josef Altin,Miltos Yerolemou,Amrita Acharia,Laura Pradelska,,,,,
Game of Thrones,,Game of Thrones: Gaming Session,GoT: Gaming Session,Games,,09/08/2014,20:30,Sat 20:30,09/08/2014,21:45,Sat 21:45,38,TitanCon,,,,,,,,
Kids,,CAKES IN SPACE!,Philip Reeve & Sarah McIntyre: CAKES IN SPACE!,Workshop,,10/08/2014,11:45,Sun 11:45,10/08/2014,13:00,Sun 13:00,38,Philip Reeve,Sarah McIntyre,,,,,,,
Game of Thrones,,Game of Thrones: Visiting the Filming Locations,GoT: Filming Locations,Presentation,,10/08/2014,10:00,Sun 10:00,10/08/2014,11:15,Sun 11:15,32,Phil Lowles,,,,,,,,
Game of Thrones,,Game of Thrones: Gaming Session,GoT: Gaming Session,Games,,08/08/2014,18:00,Fri 18:00,08/08/2014,19:30,Fri 19:30,Bijou-Bar,TitanCon,,,,,,,,
Game of Thrones,,Game of Thrones: Going Beyond the Books,GoT: Going Beyond the Books,Panel,,10/08/2014,17:00,Sun 17:00,10/08/2014,18:15,Sun 18:15,38,Miltos Yerolemou,Cristina Macia,Adam Whitehead,Phil Lowles,,,,,
Game of Thrones,,Game of Thrones: Gaming Session,GoT: Gaming Session,Games,,10/08/2014,18:45,Sun 18:45,10/08/2014,20:00,Sun 20:00,Royal-C&D,TitanCon,,,,,,,,
Video Games Culture,,Cara's Fireside,Cara's Fireside,Entertainment,,10/08/2014,20:30,Sun 20:30,10/08/2014,21:45,Sun 21:45,38,Cara Ellison,Kieron Gillen,,,,,,,
Retro Fandom,,Introduce Your Retro Fandom To The Family,Introduce Your Retro Fandom To The Family,Discussion,,08/08/2014,10:00,Fri 10:00,08/08/2014,11:15,Fri 11:15,40,Lesley McIntee,David McIntee,,,,,,,
Retro Fandom,,Who's Afraid of Joseph Campbell?': The Hero's Journey,"'Who's Afraid of Joseph Campbell?': the Hero's Journey in sci-fi, historical fiction, fantasy and mythology",Discussion,,08/08/2014,11:45,Fri 11:45,08/08/2014,13:00,Fri 13:00,40,Lesley McIntee,David McIntee,,,,,,,
Retro Fandom,,Chaos Costuming the Old Shows,Chaos Costuming the Old Shows,Workshop,,08/08/2014,13:30,Fri 13:30,08/08/2014,14:45,Fri 14:45,40,David McIntee,,,,,,,,
Retro Fandom,,Interrogating The Old Shows,Interrogating The Old Shows: Retro Fandoms and Cultural Critique,Discussion,Trigger warnings,08/08/2014,15:15,Fri 15:15,08/08/2014,16:30,Fri 16:30,40,Lesley McIntee,David McIntee,,,,,,,
LARP,,Doctor Nefarious and the Paradise Project,Doctor Nefarious and the Paradise Project,Games,,08/08/2014,17:00,Fri 17:00,08/08/2014,19:00,Fri 19:00,40,,,,,,,,,
